Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To
URGENT REQUEST,"Are you available ?
No calls text only 9513072XXX",1/9/20,na,na,na,Urgent,Y,"Chancellor
Berkeley University of California",BEST REGARDS, cchristberkeley.edu@gmail.com,na,NB
Quick question,I'm in a meeting and need help getting some Amazon Gift Cards,1/9/20,na,na,na,Quick,Y,"University of California, Berkeley",na,XXX.subdomain.berkeley.edu,na,NB
******Part time home work assistant needed******,"Hello RECIPIENT

I am urgently seeking for a Clerical/Administrative Assistant to 
work for me on campus at their own free time while I am away on my work and 
earn basic wage $250 weekly.This is a flexible job that requires little to 
no prior experience .Let me know you are interested and I will fill you in.",10/19/19,2:22 PM, Sat,na,Job/Needed,Y,"*Professor David Card*
*Department of Economics*
*530 Evans Hall #3880*
*University of California Berkeley*
*Berkeley, CA*",Sincerely  ,dvdmson @ gmail . Com,na,NB
Ê vendor payment,Are you around? I need to pay a vendor with the blucard.,"12/27/18
 ",na,na,na,"gift card, meeting",Y,"University of California, Berkeley",na,ÊÊXXX.subdomain.berkeley.edu@gmail.com,na,NB
  Quick question,I'm in a meeting and need help getting some Amazon Gift Cards,"12/27/18
 ",na,na,na,shared,Y,"University of California, Berkeley",na,XXX.subdomain.berkeley.edu,na,
ÊXXX has shared a document on Google Docs with you,XXX has invited you to view the following document:,"5/3/2017
",na,na,Open in Docs,"invite, share",na,,na,ÊXXX@berkeley.edu,na,BCC
Message from human resources,"Dear XXXXX@berkeley.edu(link sends e-mail)

An information document has been sent to you by the Human Resources Department.

Click here to Login to view the document.  Thank you!",4/13/17,9:29:54 PM PDT,na,click here,HR,Y,"Berkeley University Of California HR Department
© 2017 The Regents of the University of California.  All rights reserved.",Thank you,HR@berkeley.edu,na,NB
Library Account,"Dear Student,

Your access to your library account is expiring soon due to inactivity. To
continue to have access to the library services, you must reactivate your
account. For this purpose, click the web address below or copy and paste it
into your web browser. A successful login will activate your account and
you will be redirected to your library profile.

https://auth.berkeley.edu/cas/login?service=https%3a%2f%


If you are not able to login, please contact <Name Removed> at
xxxxx@berkeley.edu (link sends e-mail) for immediate assistance.",4/1/17,2:09 PM,Sat,plain url,"expiring soon, inactivity, ",Y,"University Library
University of California Berkeley","Sincerely,",na,na,NB
Your Dropbox File,"Hello,
 
You just received a file through Dropbox Share Application.
Please click below and log in to view file.
 
View file
 
Every time a friend installs Dropbox, we'll give both of you 1 GB of
space for free! Need even more space? Upgrade your Dropbox and get 1 TB
(1,000 GB) of space",1/30/17,na,Mon,view file,"file, dropbox",Y,The Dropbox Team,Happy Dropboxing.,sass@tamhsc.edu(link sends e-mail),Dropbox,B
,"Dear User,

This message is to inform you that your access to bCourses will soon expire. You will have to login to your account to continue to have access to this service.
You need to reactivate it just by logging in through the following URL. A successful login will activate your account and you will be redirected to your bCourses page.

http:/bcourses.berkeley.edu/login_0DZvfIrGID322o0ki22F0IZotK3lPfYHa62pNgFo4Oh4B40FO4WFMbL4BeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jX2LqgZijDXGuwEM8fb8yNE7xdTJSMBNYpD4cemhm/

If you are not able to login, please contact Danielle Patel at dapatel@berkeley.edu(link sends e-mail) for immediate assistance.",1/25/17,na,na,URL,"expire, login, reactive",Y,"Berkeley Security
University of California, Berkeley
510-643-6957","Sincerely,",dapatel@berkeley.edu,na,B
Update Portal,"The Human Resources/Payroll Department has completed the final paystub
changes for 2017 tax year.
To view the changes to your paystub information and view/download your W-2
forms (2014 - 2016 tax years), go to: Adp Portal

We hope you find the changes to your paystub information useful and welcome
any comments you may have.",24 Jan 2017Ê,13:31:49,Tue,ADP portal,"tax, update",Y,na,"Yours Sincerely,",director.stics@boyaca.gov.co,na,NB
FedEx Shipment Update,"Dear Customer,

We could not deliver your item.

You can review and print complete details of shipping duty on your order.

Thanks",1/3/17,na,Tue,PDF Attachment:  update_Form.pdf,"shipment, update",Na,na,Thanks,xxxxxx@berkeley.edu,FedEx,B
ÊImportant Announcement from Chancellor Nicholas B. Dirks,"Good Morning Berkeley Family,

Please read attached for an important announcement from Chancellor Nicholas B. Dirks",12/14/16,8:55 AM,Wed,1 attachment: shared Document.pdf,"important, chancellor",Y,"

Chancellor","Thanks,",penweltm@miamioh.edu,na,B
